Year,Date,Time,Round,Stadium,City,Country,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation,home_team_goals,away_team_goals,total_goals_per_country,unique_countries,final_country_name,final_times_reached,knockouts_Country,knockouts_count_per_country,wining_Team,Win_Count
1986,02-Jun-86, 12:00 ,Group A,Estadio Olï¿½mpico Universitario,Mexico City ,Mexico,Argentina,3,1,Korea Republic, ,111,13,,,,,,,,
1986,02-Jun-86, 16:00 ,Group F,Estadio Universitario,Monterrey ,Mexico,Morocco,0,0,Poland, ,3,17,,,,,,,,
1986,03-Jun-86, 12:00 ,Group D,Tres de Marzo,Guadalajara ,Mexico,Algeria,1,1,Northern Ireland, ,5,8,,,,,,,,
1986,03-Jun-86, 12:00 ,Group B,Estadio Azteca,Mexico City ,Mexico,Belgium,1,2,Mexico, ,27,36,,,,,,,,
1986,03-Jun-86, 16:00 ,Group F,Tecnologico,Monterrey ,Mexico,Portugal,1,0,England, ,36,25,,,,,,,,
1986,04-Jun-86, 12:00 ,Group B,Bombonera - Estadio Nemesio Diez,Toluca ,Mexico,Paraguay,1,0,Iraq, ,14,0,,,,,,,,
1986,04-Jun-86, 16:00 ,Group E,Neza,Nezahualcoyotl ,Mexico,Scotland,0,1,Denmark, ,11,14,,,,,,,,
1986,04-Jun-86, 12:00 ,Group E,Estadio Corregidora,Queretaro ,Mexico,Uruguay,1,1,Germany FR, ,62,32,,,,,,,,
1986,05-Jun-86, 12:00 ,Group A,Cuauhtemoc,Puebla ,Mexico,Italy,1,1,Argentina, ,99,22,,,,,,,,
1986,05-Jun-86, 12:00 ,Group C,Nou Camp - Estadio Leï¿½n,Leon ,Mexico,France,1,1,Soviet Union, ,68,10,,,,,,,,
1986,05-Jun-86, 16:00 ,Group A,Estadio Olï¿½mpico Universitario,Mexico City ,Mexico,Korea Republic,1,1,Bulgaria, ,18,11,,,,,,,,
1986,06-Jun-86, 12:00 ,Group C,Estadio Irapuato,Irapuato ,Mexico,Hungary,2,0,Canada, ,73,0,,,,,,,,
1986,06-Jun-86, 12:00 ,Group D,Jalisco,Guadalajara ,Mexico,Brazil,1,0,Algeria, ,180,9,,,,,,,,
1986,06-Jun-86, 16:00 ,Group F,Tecnologico,Monterrey ,Mexico,England,0,0,Morocco, ,54,9,,,,,,,,
1986,07-Jun-86, 12:00 ,Group D,Tres de Marzo,Guadalajara ,Mexico,Northern Ireland,1,2,Spain, ,5,42,,,,,,,,
1986,07-Jun-86, 12:00 ,Group B,Estadio Azteca,Mexico City ,Mexico,Mexico,1,1,Paraguay, ,22,16,,,,,,,,
1986,07-Jun-86, 16:00 ,Group F,Estadio Universitario,Monterrey ,Mexico,Poland,1,0,Portugal, ,27,7,,,,,,,,
1986,08-Jun-86, 12:00 ,Group B,Bombonera - Estadio Nemesio Diez,Toluca ,Mexico,Iraq,1,2,Belgium, ,1,27,,,,,,,,
1986,08-Jun-86, 16:00 ,Group E,Neza,Nezahualcoyotl ,Mexico,Denmark,6,1,Uruguay, ,13,18,,,,,,,,
1986,08-Jun-86, 12:00 ,Group E,Estadio Corregidora,Queretaro ,Mexico,Germany FR,2,1,Scotland, ,99,14,,,,,,,,
1986,09-Jun-86, 12:00 ,Group C,Nou Camp - Estadio Leï¿½n,Leon ,Mexico,Hungary,0,3,France, ,73,40,,,,,,,,
1986,09-Jun-86, 12:00 ,Group C,Estadio Irapuato,Irapuato ,Mexico,Soviet Union,2,0,Canada, ,43,0,,,,,,,,
1986,10-Jun-86, 12:00 ,Group A,Cuauhtemoc,Puebla ,Mexico,Korea Republic,2,3,Italy, ,18,29,,,,,,,,
1986,10-Jun-86, 12:00 ,Group A,Estadio Olï¿½mpico Universitario,Mexico City ,Mexico,Argentina,2,0,Bulgaria, ,111,11,,,,,,,,
1986,11-Jun-86, 12:00 ,Group B,Bombonera - Estadio Nemesio Diez,Toluca ,Mexico,Paraguay,2,2,Belgium, ,14,27,,,,,,,,
1986,11-Jun-86, 12:00 ,Group B,Estadio Azteca,Mexico City ,Mexico,Iraq,0,1,Mexico, ,1,36,,,,,,,,
1986,11-Jun-86, 16:00 ,Group F,Tres de Marzo,Guadalajara ,Mexico,Portugal,1,3,Morocco, ,36,9,,,,,,,,
1986,11-Jun-86, 16:00 ,Group F,Tecnologico,Monterrey ,Mexico,England,3,0,Poland, ,54,17,,,,,,,,
1986,12-Jun-86, 12:00 ,Group D,Jalisco,Guadalajara ,Mexico,Northern Ireland,0,3,Brazil, ,5,45,,,,,,,,
1986,12-Jun-86, 12:00 ,Group D,Tecnologico,Monterrey ,Mexico,Algeria,0,3,Spain, ,5,42,,,,,,,,
1986,13-Jun-86, 12:00 ,Group E,Neza,Nezahualcoyotl ,Mexico,Scotland,0,0,Uruguay, ,11,18,,,,,,,,
1986,13-Jun-86, 12:00 ,Group E,Estadio Corregidora,Queretaro ,Mexico,Denmark,2,0,Germany FR, ,13,32,,,,,,,,
1986,15-Jun-86, 16:00 ,Round of 16,Nou Camp - Estadio Leï¿½n,Leon ,Mexico,Soviet Union,3,4,Belgium,Belgium win after extra time ,43,27,,,,,,,,
1986,15-Jun-86, 12:00 ,Round of 16,Estadio Azteca,Mexico City ,Mexico,Mexico,2,0,Bulgaria, ,22,11,,,,,,,,
1986,16-Jun-86, 16:00 ,Round of 16,Cuauhtemoc,Puebla ,Mexico,Argentina,1,0,Uruguay, ,111,18,,,,,,,,
1986,16-Jun-86, 12:00 ,Round of 16,Jalisco,Guadalajara ,Mexico,Brazil,4,0,Poland, ,180,17,,,,,,,,
1986,17-Jun-86, 12:00 ,Round of 16,Estadio Olï¿½mpico Universitario,Mexico City ,Mexico,Italy,0,2,France, ,99,40,,,,,,,,
1986,17-Jun-86, 16:00 ,Round of 16,Estadio Universitario,Monterrey ,Mexico,Morocco,0,1,Germany FR, ,3,32,,,,,,,,
1986,18-Jun-86, 12:00 ,Round of 16,Estadio Azteca,Mexico City ,Mexico,England,3,0,Paraguay, ,54,16,,,,,,,,
1986,18-Jun-86, 16:00 ,Round of 16,Estadio Corregidora,Queretaro ,Mexico,Denmark,1,5,Spain, ,13,42,,,,,,,,
1986,21-Jun-86, 12:00 ,Quarter-finals,Jalisco,Guadalajara ,Mexico,Brazil,1,1,France,France win on penalties (3 - 4) ,180,40,,,,,,,,
1986,21-Jun-86, 16:00 ,Quarter-finals,Estadio Universitario,Monterrey ,Mexico,Germany FR,0,0,Mexico,Germany FR win on penalties (4 - 1) ,99,36,,,,,,,,
1986,22-Jun-86, 16:00 ,Quarter-finals,Cuauhtemoc,Puebla ,Mexico,Spain,1,1,Belgium,Belgium win on penalties (4 - 5) ,50,27,,,,,,,,
1986,22-Jun-86, 12:00 ,Quarter-finals,Estadio Azteca,Mexico City ,Mexico,Argentina,2,1,England, ,111,25,,,,,,,,
1986,25-Jun-86, 12:00 ,Semi-finals,Jalisco,Guadalajara ,Mexico,France,0,2,Germany FR, ,68,32,,,,,,,,
1986,25-Jun-86, 16:00 ,Semi-finals,Estadio Azteca,Mexico City ,Mexico,Argentina,2,0,Belgium, ,111,27,,,,,,,,
1986,28-Jun-86, 12:00 ,Match for third place,Cuauhtemoc,Puebla ,Mexico,France,4,2,Belgium,France win after extra time ,68,27,,,,,,,,
1986,29-Jun-86, 12:00 ,Final,Estadio Azteca,Mexico City ,Mexico,Argentina,3,2,Germany FR, ,111,32,,,,,,,,
1990,08-Jun-90, 18:00 ,Group B,Giuseppe Meazza,Milan ,Italy,Argentina,0,1,Cameroon, ,111,7,,,,,,,,
1990,09-Jun-90, 17:00 ,Group B,Stadio San Nicola,Bari ,Italy,Soviet Union,0,2,Romania, ,43,15,,,,,,,,
1990,09-Jun-90, 17:00 ,Group D,Renato Dall Ara,Bologna ,Italy,United Arab Emirates,0,2,Colombia, ,0,18,,,,,,,,
1990,09-Jun-90, 21:00 ,Group A,Stadio Olimpico,Rome ,Italy,Italy,1,0,Austria, ,99,12,,,,,,,,
1990,10-Jun-90, 17:00 ,Group A,Comunale,Florence ,Italy,USA,1,5,Czechoslovakia, ,19,17,,,,,,,,
1990,10-Jun-90, 21:00 ,Group C,Stadio delle Alpi,Turin ,Italy,Brazil,2,1,Sweden, ,180,21,,,,,,,,
1990,10-Jun-90, 21:00 ,Group D,Giuseppe Meazza,Milan ,Italy,Germany FR,4,1,Yugoslavia, ,99,18,,,,,,,,
1990,11-Jun-90, 17:00 ,Group C,Luigi Ferraris,Genoa ,Italy,Costa Rica,1,0,Scotland, ,7,14,,,,,,,,
1990,11-Jun-90, 21:00 ,Group F,Sant Elia,Cagliari ,Italy,England,1,1,Republic of Ireland, ,54,8,,,,,,,,
1990,12-Jun-90, 17:00 ,Group E,Marc Antonio Bentegodi,Verona ,Italy,Belgium,2,0,Korea Republic, ,27,13,,,,,,,,
1990,12-Jun-90, 21:00 ,Group F,Della Favorita,Palermo ,Italy,Netherlands,1,1,Egypt, ,51,3,,,,,,,,
1990,13-Jun-90, 17:00 ,Group E,Dacia Arena,Udine ,Italy,Uruguay,0,0,Spain, ,62,42,,,,,,,,
1990,13-Jun-90, 21:00 ,Group B,San Paolo,Naples ,Italy,Argentina,2,0,Soviet Union, ,111,10,,,,,,,,
1990,14-Jun-90, 17:00 ,Group B,Stadio San Nicola,Bari ,Italy,Cameroon,2,1,Romania, ,11,15,,,,,,,,
1990,14-Jun-90, 17:00 ,Group D,Renato Dall Ara,Bologna ,Italy,Yugoslavia,1,0,Colombia, ,42,18,,,,,,,,
1990,14-Jun-90, 21:00 ,Group A,Stadio Olimpico,Rome ,Italy,Italy,1,0,USA, ,99,19,,,,,,,,
1990,15-Jun-90, 17:00 ,Group A,Comunale,Florence ,Italy,Austria,0,1,Czechoslovakia, ,31,17,,,,,,,,
1990,15-Jun-90, 21:00 ,Group D,Giuseppe Meazza,Milan ,Italy,Germany FR,5,1,United Arab Emirates, ,99,2,,,,,,,,
1990,16-Jun-90, 17:00 ,Group C,Stadio delle Alpi,Turin ,Italy,Brazil,1,0,Costa Rica, ,180,11,,,,,,,,
1990,16-Jun-90, 21:00 ,Group C,Luigi Ferraris,Genoa ,Italy,Sweden,1,2,Scotland, ,53,14,,,,,,,,
1990,16-Jun-90, 21:00 ,Group F,Sant Elia,Cagliari ,Italy,England,0,0,Netherlands, ,54,40,,,,,,,,
1990,17-Jun-90, 17:00 ,Group F,Della Favorita,Palermo ,Italy,Republic of Ireland,0,0,Egypt, ,2,3,,,,,,,,
1990,17-Jun-90, 21:00 ,Group E,Dacia Arena,Udine ,Italy,Korea Republic,1,3,Spain, ,18,42,,,,,,,,
1990,17-Jun-90, 21:00 ,Group E,Marc Antonio Bentegodi,Verona ,Italy,Belgium,3,1,Uruguay, ,27,18,,,,,,,,
1990,18-Jun-90, 21:00 ,Group B,San Paolo,Naples ,Italy,Argentina,1,1,Romania, ,111,15,,,,,,,,
1990,18-Jun-90, 21:00 ,Group B,Stadio San Nicola,Bari ,Italy,Cameroon,0,4,Soviet Union, ,11,10,,,,,,,,
1990,19-Jun-90, 17:00 ,Group D,Giuseppe Meazza,Milan ,Italy,Germany FR,1,1,Colombia, ,99,18,,,,,,,,
1990,19-Jun-90, 17:00 ,Group D,Renato Dall Ara,Bologna ,Italy,Yugoslavia,4,1,United Arab Emirates, ,42,2,,,,,,,,
1990,19-Jun-90, 21:00 ,Group A,Stadio Olimpico,Rome ,Italy,Italy,2,0,Czechoslovakia, ,99,17,,,,,,,,
1990,19-Jun-90, 21:00 ,Group A,Comunale,Florence ,Italy,Austria,2,1,USA, ,31,19,,,,,,,,
1990,20-Jun-90, 21:00 ,Group C,Stadio delle Alpi,Turin ,Italy,Brazil,1,0,Scotland, ,180,14,,,,,,,,
1990,20-Jun-90, 21:00 ,Group C,Luigi Ferraris,Genoa ,Italy,Sweden,1,2,Costa Rica, ,53,11,,,,,,,,
1990,21-Jun-90, 17:00 ,Group E,Friuli,Udine ,Italy,Korea Republic,0,1,Uruguay, ,18,18,,,,,,,,
1990,21-Jun-90, 17:00 ,Group E,Marc Antonio Bentegodi,Verona ,Italy,Belgium,1,2,Spain, ,27,42,,,,,,,,
1990,21-Jun-90, 21:00 ,Group F,Della Favorita,Palermo ,Italy,Republic of Ireland,1,1,Netherlands, ,2,40,,,,,,,,
1990,21-Jun-90, 21:00 ,Group F,Sant Elia,Cagliari ,Italy,England,1,0,Egypt, ,54,3,,,,,,,,
1990,23-Jun-90, 17:00 ,Round of 16,San Paolo,Naples ,Italy,Cameroon,2,1,Colombia,Cameroon win after extra time ,11,18,,,,,,,,
1990,23-Jun-90, 21:00 ,Round of 16,Stadio San Nicola,Bari ,Italy,Czechoslovakia,4,1,Costa Rica, ,27,11,,,,,,,,
1990,24-Jun-90, 17:00 ,Round of 16,Stadio delle Alpi,Turin ,Italy,Brazil,0,1,Argentina, ,180,22,,,,,,,,
1990,24-Jun-90, 21:00 ,Round of 16,Giuseppe Meazza,Milan ,Italy,Germany FR,2,1,Netherlands, ,99,40,,,,,,,,
1990,25-Jun-90, 17:00 ,Round of 16,Luigi Ferraris,Genoa ,Italy,Republic of Ireland,0,0,Romania,Republic of Ireland win on penalties (5 - 4) ,2,15,,,,,,,,
1990,25-Jun-90, 21:00 ,Round of 16,Stadio Olimpico,Rome ,Italy,Italy,2,0,Uruguay, ,99,18,,,,,,,,
1990,26-Jun-90, 17:00 ,Round of 16,Marc Antonio Bentegodi,Verona ,Italy,Spain,1,2,Yugoslavia,Yugoslavia win after extra time ,50,18,,,,,,,,
1990,26-Jun-90, 21:00 ,Round of 16,Renato Dall Ara,Bologna ,Italy,England,1,0,Belgium,England win after extra time ,54,27,,,,,,,,
1990,30-Jun-90, 17:00 ,Quarter-finals,Comunale,Florence ,Italy,Yugoslavia,0,0,Argentina, win on penalties (2 - 3) ,42,22,,,,,,,,
1990,30-Jun-90, 21:00 ,Quarter-finals,Stadio Olimpico,Rome ,Italy,Italy,1,0,Republic of Ireland, ,99,8,,,,,,,,
1990,01-Jul-90, 17:00 ,Quarter-finals,Giuseppe Meazza,Milan ,Italy,Germany FR,1,0,Czechoslovakia, ,99,17,,,,,,,,
1990,01-Jul-90, 21:00 ,Quarter-finals,San Paolo,Naples ,Italy,England,3,2,Cameroon,England win after extra time ,54,7,,,,,,,,
1990,03-Jul-90, 20:00 ,Semi-finals,San Paolo,Naples ,Italy,Italy,1,1,Argentina, win on penalties (3 - 4) ,99,22,,,,,,,,
1990,04-Jul-90, 20:00 ,Semi-finals,Stadio delle Alpi,Turin ,Italy,Germany FR,1,1,England, win on penalties (4 - 3) ,99,25,,,,,,,,
1990,07-Jul-90, 20:00 ,Match for third place,Stadio San Nicola,Bari ,Italy,Italy,2,1,England, ,99,25,,,,,,,,
1990,08-Jul-90, 20:00 ,Final,Stadio Olimpico,Rome ,Italy,Germany FR,1,0,Argentina, ,99,22,,,,,,,,
1994,17-Jun-94, 19:30 ,Group C,Cotton Bowl,Dallas ,USA,Spain,2,2,Korea Republic, ,50,13,,,,,,,,
1994,17-Jun-94, 15:00 ,Group C,Soldier Field,Chicago ,USA,Germany,1,0,Bolivia, ,69,0,,,,,,,,
1994,18-Jun-94, 11:30 ,Group A,Pontiac Silverdome,Detroit ,USA,USA,1,1,Switzerland, ,19,23,,,,,,,,
1994,18-Jun-94, 16:00 ,Group E,Giants Stadium,New York/New Jersey ,USA,Italy,0,1,Republic of Ireland, ,99,8,,,,,,,,
1994,18-Jun-94, 19:30 ,Group A,Rose Bowl,Los Angeles ,USA,Colombia,1,3,Romania, ,11,15,,,,,,,,
1994,19-Jun-94, 12:30 ,Group F,Citrus Bowl,Orlando ,USA,Belgium,1,0,Morocco, ,27,9,,,,,,,,
1994,19-Jun-94, 16:00 ,Group E,RFK Stadium,Washington Dc ,USA,Norway,1,0,Mexico, ,1,36,,,,,,,,
1994,19-Jun-94, 19:30 ,Group B,Rose Bowl,Los Angeles ,USA,Cameroon,2,2,Sweden, ,11,21,,,,,,,,
1994,20-Jun-94, 19:30 ,Group F,RFK Stadium,Washington Dc ,USA,Netherlands,2,1,Saudi Arabia, ,51,6,,,,,,,,
1994,20-Jun-94, 16:00 ,Group B,Stanford Stadium,San Francisco ,USA,Brazil,2,0,Russia, ,180,4,,,,,,,,
1994,21-Jun-94, 12:30 ,Group D,Foxboro Stadium,Boston ,USA,Argentina,4,0,Greece, ,111,2,,,,,,,,
1994,21-Jun-94, 19:30 ,Group D,Cotton Bowl,Dallas ,USA,Nigeria,3,0,Bulgaria, ,12,11,,,,,,,,
1994,21-Jun-94, 16:00 ,Group C,Soldier Field,Chicago ,USA,Germany,1,1,Spain, ,69,42,,,,,,,,
1994,22-Jun-94, 16:00 ,Group A,Pontiac Silverdome,Detroit ,USA,Romania,1,4,Switzerland, ,15,23,,,,,,,,
1994,22-Jun-94, 19:30 ,Group A,Rose Bowl,Los Angeles ,USA,USA,2,1,Colombia, ,19,18,,,,,,,,
1994,23-Jun-94, 16:00 ,Group E,Giants Stadium,New York/New Jersey ,USA,Italy,1,0,Norway, ,99,6,,,,,,,,
1994,23-Jun-94, 19:30 ,Group C,Foxboro Stadium,Boston ,USA,Korea Republic,0,0,Bolivia, ,18,0,,,,,,,,
1994,24-Jun-94, 12:30 ,Group E,Citrus Bowl,Orlando ,USA,Mexico,2,1,Republic of Ireland, ,22,8,,,,,,,,
1994,24-Jun-94, 19:30 ,Group B,Pontiac Silverdome,Detroit ,USA,Sweden,3,1,Russia, ,53,4,,,,,,,,
1994,24-Jun-94, 16:00 ,Group B,Stanford Stadium,San Francisco ,USA,Brazil,3,0,Cameroon, ,180,7,,,,,,,,
1994,25-Jun-94, 12:30 ,Group F,Citrus Bowl,Orlando ,USA,Belgium,1,0,Netherlands, ,27,40,,,,,,,,
1994,25-Jun-94, 12:30 ,Group F,Giants Stadium,New York/New Jersey ,USA,Saudi Arabia,2,1,Morocco, ,3,9,,,,,,,,
1994,25-Jun-94, 16:00 ,Group D,Foxboro Stadium,Boston ,USA,Argentina,2,1,Nigeria, ,111,8,,,,,,,,
1994,26-Jun-94, 12:30 ,Group D,Soldier Field,Chicago ,USA,Bulgaria,4,0,Greece, ,11,2,,,,,,,,
1994,26-Jun-94, 16:00 ,Group A,Rose Bowl,Los Angeles ,USA,USA,0,1,Romania, ,19,15,,,,,,,,
1994,26-Jun-94, 16:00 ,Group A,Stanford Stadium,San Francisco ,USA,Switzerland,0,2,Colombia, ,22,18,,,,,,,,
1994,27-Jun-94, 16:00 ,Group C,Cotton Bowl,Dallas ,USA,Germany,3,2,Korea Republic, ,69,13,,,,,,,,
1994,27-Jun-94, 16:00 ,Group C,Soldier Field,Chicago ,USA,Bolivia,1,3,Spain, ,1,42,,,,,,,,
1994,28-Jun-94, 12:30 ,Group E,Giants Stadium,New York/New Jersey ,USA,Republic of Ireland,0,0,Norway, ,2,6,,,,,,,,
1994,28-Jun-94, 16:00 ,Group B,Pontiac Silverdome,Detroit ,USA,Brazil,1,1,Sweden, ,180,21,,,,,,,,
1994,28-Jun-94, 12:30 ,Group E,RFK Stadium,Washington Dc ,USA,Italy,1,1,Mexico, ,99,36,,,,,,,,
1994,28-Jun-94, 16:00 ,Group B,Stanford Stadium,San Francisco ,USA,Russia,6,1,Cameroon, ,9,7,,,,,,,,
1994,29-Jun-94, 12:30 ,Group F,Citrus Bowl,Orlando ,USA,Morocco,1,2,Netherlands, ,3,40,,,,,,,,
1994,29-Jun-94, 12:30 ,Group F,RFK Stadium,Washington Dc ,USA,Belgium,0,1,Saudi Arabia, ,27,6,,,,,,,,
1994,30-Jun-94, 19:30 ,Group D,Foxboro Stadium,Boston ,USA,Greece,0,2,Nigeria, ,4,8,,,,,,,,
1994,30-Jun-94, 19:30 ,Group D,Cotton Bowl,Dallas ,USA,Argentina,0,2,Bulgaria, ,111,11,,,,,,,,
1994,02-Jul-94, 12:00 ,Round of 16,Soldier Field,Chicago ,USA,Germany,3,2,Belgium, ,69,27,,,,,,,,
1994,02-Jul-94, 16:30 ,Round of 16,RFK Stadium,Washington Dc ,USA,Spain,3,0,Switzerland, ,50,23,,,,,,,,
1994,03-Jul-94, 12:00 ,Round of 16,Cotton Bowl,Dallas ,USA,Saudi Arabia,1,3,Sweden, ,3,21,,,,,,,,
1994,03-Jul-94, 13:30 ,Round of 16,Rose Bowl,Los Angeles ,USA,Romania,3,2,Argentina, ,15,22,,,,,,,,
1994,04-Jul-94, 12:00 ,Round of 16,Citrus Bowl,Orlando ,USA,Netherlands,2,0,Republic of Ireland, ,51,8,,,,,,,,
1994,04-Jul-94, 12:30 ,Round of 16,Stanford Stadium,San Francisco ,USA,Brazil,1,0,USA, ,180,19,,,,,,,,
1994,05-Jul-94, 13:00 ,Round of 16,Foxboro Stadium,Boston ,USA,Nigeria,1,2,Italy,Italy win after extra time ,12,29,,,,,,,,
1994,05-Jul-94, 16:30 ,Round of 16,Giants Stadium,New York/New Jersey ,USA,Mexico,1,1,Bulgaria,Bulgaria win on penalties (1 - 3) ,22,11,,,,,,,,
1994,09-Jul-94, 12:00 ,Quarter-finals,Foxboro Stadium,Boston ,USA,Italy,2,1,Spain, ,99,42,,,,,,,,
1994,09-Jul-94, 14:30 ,Quarter-finals,Cotton Bowl,Dallas ,USA,Netherlands,2,3,Brazil, ,51,45,,,,,,,,
1994,10-Jul-94, 12:00 ,Quarter-finals,Giants Stadium,New York/New Jersey ,USA,Bulgaria,2,1,Germany, ,11,35,,,,,,,,
1994,10-Jul-94, 12:30 ,Quarter-finals,Stanford Stadium,San Francisco ,USA,Romania,2,2,Sweden,Sweden win on penalties (4 - 5) ,15,21,,,,,,,,
1994,13-Jul-94, 16:00 ,Semi-finals,Giants Stadium,New York/New Jersey ,USA,Bulgaria,1,2,Italy, ,11,29,,,,,,,,
1994,13-Jul-94, 16:30 ,Semi-finals,Rose Bowl,Los Angeles ,USA,Sweden,0,1,Brazil, ,53,45,,,,,,,,
1994,16-Jul-94, 12:30 ,Match for third place,Rose Bowl,Los Angeles ,USA,Sweden,4,0,Bulgaria, ,53,11,,,,,,,,
1994,17-Jul-94, 12:30 ,Final,Rose Bowl,Los Angeles ,USA,Brazil,0,0,Italy,Brazil win on penalties (3 - 2) ,180,29,,,,,,,,
1998,10-Jun-98, 17:30 ,Group A,Stade de France,Saint-Denis ,France,Brazil,2,1,Scotland, ,180,14,,,,,,,,
1998,10-Jun-98, 21:00 ,Group A,La Mosson,Montpellier ,France,Morocco,2,2,Norway, ,3,6,,,,,,,,
1998,11-Jun-98, 17:30 ,Group B,Stade du Parc Lescure,Bordeaux ,France,Italy,2,2,Chile, ,99,16,,,,,,,,
1998,11-Jun-98, 21:00 ,Group B,Stade Municipal,Toulouse ,France,Cameroon,1,1,Austria, ,11,12,,,,,,,,
1998,12-Jun-98, 14:30 ,Group D,La Mosson,Montpellier ,France,Paraguay,0,0,Bulgaria, ,14,11,,,,,,,,
1998,12-Jun-98, 17:30 ,Group C,Stade Felix Bollaert,Lens ,France,Saudi Arabia,0,1,Denmark, ,3,14,,,,,,,,
1998,12-Jun-98, 21:00 ,Group C,Stade Vï¿½lodrome,Marseilles ,France,France,3,0,South Africa, ,68,4,,,,,,,,
1998,13-Jun-98, 14:30 ,Group D,La Beaujoire,Nantes ,France,Spain,2,3,Nigeria, ,50,8,,,,,,,,
1998,13-Jun-98, 17:30 ,Group E,Stade de Gerland,Lyon ,France,Korea Republic,1,3,Mexico, ,18,36,,,,,,,,
1998,13-Jun-98, 21:00 ,Group E,Stade de France,Saint-Denis ,France,Netherlands,0,0,Belgium, ,51,27,,,,,,,,
1998,14-Jun-98, 14:30 ,Group H,Stade Municipal,Toulouse ,France,Argentina,1,0,Japan, ,111,7,,,,,,,,
1998,14-Jun-98, 17:30 ,Group F,Stade Geoffroy Guichard,Saint-Etienne ,France,Yugoslavia,1,0,Iran, ,42,4,,,,,,,,
1998,14-Jun-98, 21:00 ,Group H,Stade Felix Bollaert,Lens ,France,Jamaica,1,3,Croatia, ,1,18,,,,,,,,
1998,15-Jun-98, 14:30 ,Group G,Stade Vï¿½lodrome,Marseilles ,France,England,2,0,Tunisia, ,54,2,,,,,,,,
1998,15-Jun-98, 17:30 ,Group G,Stade de Gerland,Lyon ,France,Romania,1,0,Colombia, ,15,18,,,,,,,,
1998,15-Jun-98, 21:00 ,Group F,Parc des Princes,Paris ,France,Germany,2,0,USA, ,69,19,,,,,,,,
1998,16-Jun-98, 17:30 ,Group A,Stade du Parc Lescure,Bordeaux ,France,Scotland,1,1,Norway, ,11,6,,,,,,,,
1998,16-Jun-98, 21:00 ,Group A,La Beaujoire,Nantes ,France,Brazil,3,0,Morocco, ,180,9,,,,,,,,
1998,17-Jun-98, 17:30 ,Group B,Stade Geoffroy Guichard,Saint-Etienne ,France,Chile,1,1,Austria, ,25,12,,,,,,,,
1998,17-Jun-98, 21:00 ,Group B,La Mosson,Montpellier ,France,Italy,3,0,Cameroon, ,99,7,,,,,,,,
1998,18-Jun-98, 17:30 ,Group C,Stade Municipal,Toulouse ,France,South Africa,1,1,Denmark, ,7,14,,,,,,,,
1998,18-Jun-98, 21:00 ,Group C,Stade de France,Saint-Denis ,France,France,4,0,Saudi Arabia, ,68,6,,,,,,,,
1998,19-Jun-98, 17:30 ,Group D,Parc des Princes,Paris ,France,Nigeria,1,0,Bulgaria, ,12,11,,,,,,,,
1998,19-Jun-98, 21:00 ,Group D,Stade Geoffroy Guichard,Saint-Etienne ,France,Spain,0,0,Paraguay, ,50,16,,,,,,,,
1998,20-Jun-98, 14:30 ,Group H,La Beaujoire,Nantes ,France,Japan,0,1,Croatia, ,7,18,,,,,,,,
1998,20-Jun-98, 17:30 ,Group E,Stade du Parc Lescure,Bordeaux ,France,Belgium,2,2,Mexico, ,27,36,,,,,,,,
1998,20-Jun-98, 21:00 ,Group E,Stade Vï¿½lodrome,Marseilles ,France,Netherlands,5,0,Korea Republic, ,51,13,,,,,,,,
1998,21-Jun-98, 14:30 ,Group F,Stade Felix Bollaert,Lens ,France,Germany,2,2,Yugoslavia, ,69,18,,,,,,,,
1998,21-Jun-98, 17:30 ,Group H,Parc des Princes,Paris ,France,Argentina,5,0,Jamaica, ,111,2,,,,,,,,
1998,21-Jun-98, 21:00 ,Group F,Stade de Gerland,Lyon ,France,USA,1,2,Iran, ,19,4,,,,,,,,
1998,22-Jun-98, 17:30 ,Group G,La Mosson,Montpellier ,France,Colombia,1,0,Tunisia, ,11,2,,,,,,,,
1998,22-Jun-98, 21:00 ,Group G,Stade Municipal,Toulouse ,France,Romania,2,1,England, ,15,25,,,,,,,,
1998,23-Jun-98, 16:00 ,Group B,Stade de France,Saint-Denis ,France,Italy,2,1,Austria, ,99,12,,,,,,,,
1998,23-Jun-98, 16:00 ,Group B,La Beaujoire,Nantes ,France,Chile,1,1,Cameroon, ,25,7,,,,,,,,
1998,23-Jun-98, 21:00 ,Group A,Stade Geoffroy Guichard,Saint-Etienne ,France,Scotland,0,3,Morocco, ,11,9,,,,,,,,
1998,23-Jun-98, 21:00 ,Group A,Stade Vï¿½lodrome,Marseilles ,France,Brazil,1,2,Norway, ,180,6,,,,,,,,
1998,24-Jun-98, 16:00 ,Group C,Stade de Gerland,Lyon ,France,France,2,1,Denmark, ,68,14,,,,,,,,
1998,24-Jun-98, 16:00 ,Group C,Stade du Parc Lescure,Bordeaux ,France,South Africa,2,2,Saudi Arabia, ,7,6,,,,,,,,
1998,24-Jun-98, 21:00 ,Group D,Stade Felix Bollaert,Lens ,France,Spain,6,1,Bulgaria, ,50,11,,,,,,,,
1998,24-Jun-98, 21:00 ,Group D,Stade Municipal,Toulouse ,France,Nigeria,1,3,Paraguay, ,12,16,,,,,,,,
1998,25-Jun-98, 16:00 ,Group E,Parc des Princes,Paris ,France,Belgium,1,1,Korea Republic, ,27,13,,,,,,,,
